YNSM_NO,YNSM_CUST,ynsd_prod,ynsd_qty,ynsd_amt,YN_DATE
S2530030            ,A0566     ,PS05848DG54B046B1G01,1,477727.27,3/12/2025
S2530030            ,A0566     ,PS05848DH68B046B1G01,1,477727.27,3/12/2025
S2530030            ,A0566     ,PS05848DLH4B046B1G01,2,477727.27,3/12/2025
S2530030            ,A0566     ,PS05848DH48B04519G01,2,477727.27,3/12/2025
S2530030            ,A0566     ,PS05848DH48B0451BG01,2,477727.27,3/12/2025
S2530031            ,A0889     ,PS051H4DB07000000001,5,232272.73,3/12/2025
S2530031            ,A0889     ,PS051H4DLA8000000001,5,232272.73,3/12/2025
S2530031            ,A0889     ,PS051H4DR12000000001,4,232272.73,3/12/2025
S2530031            ,A0889     ,PS051H4DH66000000001,6,227272.73,3/12/2025
S2530032            ,A0632     ,PS05310DB07000000F01,80,312272.73,3/12/2025
S2530033            ,A0948     ,PS051H4DB07000000001,3,232272.73,3/12/2025
S2530033            ,A0948     ,PS051H4DLA8000000001,3,232272.73,3/12/2025
S2530033            ,A0948     ,PS051H4DR12000000001,3,232272.73,3/12/2025
S2530033            ,A0948     ,PS051H4DH79000000001,3,232272.73,3/12/2025
S2530033            ,A0948     ,PS051H4DH66000000001,3,227272.73,3/12/2025
S2530033            ,A0948     ,PS051C8DB07000000001,2,185000,3/12/2025
S2530033            ,A0948     ,PS051C8DS51000000001,2,185000,3/12/2025
S2530033            ,A0948     ,PS051C8DLK9000000001,2,180000,3/12/2025
S2530033            ,A0948     ,PS051C8DY62000000001,2,180000,3/12/2025
S2530033            ,A0948     ,PS051E4DY04000000001,5,133636.36,3/12/2025
S2530033            ,A0948     ,SXV021CBSCA001001,5,48181.82,3/12/2025
S2530034            ,A0215     ,SXV02529SCA001001,300,35454.55,3/12/2025
S2530035            ,A0286     ,SXV02529SCA001001,200,35454.55,3/12/2025
S2530036            ,A0197     ,SXV02529SCA001001,200,35454.55,3/12/2025
S2530036            ,A0197     ,SXV02529SCA003001,200,35454.55,3/12/2025
S2530037            ,A0197     ,SXV02120SCA003002,100,35454.55,3/12/2025
S2530038            ,A0659     ,SXV02529SCA001001,100,35454.55,3/12/2025
S2530038            ,A0659     ,SXV02529SCA003001,100,35454.55,3/12/2025
S2530039            ,A0659     ,SXV02120SCA003002,100,35454.55,3/12/2025
S2530040            ,A0822     ,SXV02529SCA003001,200,31818.18,3/12/2025
S2530028            ,A0666     ,PS051C8DLK9000000001,4,168181.82,3/11/2025
S2530028            ,A0666     ,PS051C8DLA8000000001,1,173181.82,3/11/2025
S2530028            ,A0666     ,PS051C8DS51000000001,9,173181.82,3/11/2025
S2530028            ,A0666     ,PS051C8DB07000000001,10,173181.82,3/11/2025
S2530028            ,A0666     ,SXV021AKSCA001001,10,50909.09,3/11/2025
S2530028            ,A0666     ,SXV021AKSCA003001,10,50909.09,3/11/2025
S2530029            ,A0743     ,SXV021AKSCA001001,20,56363.64,3/11/2025
S2530029            ,A0743     ,SXV021AKSCA003001,20,56363.64,3/11/2025
S2530029            ,A0743     ,SXV02213SCA001001,50,35454.55,3/11/2025
S2530029            ,A0743     ,SXV02213SCA003001,30,35454.55,3/11/2025
S2530026            ,A0865     ,PS05288DG04000000F01,4,208181.82,3/10/2025
S2530026            ,A0865     ,PS05288DW13000000F01,1,208181.82,3/10/2025
S2530026            ,A0865     ,PS05288DW01000000F01,5,208181.82,3/10/2025
S2530026            ,A0865     ,PS05848DLH4B046B1F01,3,455000,3/10/2025
S2530026            ,A0865     ,PS05848DH68B046B1F01,1,455000,3/10/2025
S2530026            ,A0865     ,PS05848DG54B046B1F01,3,455000,3/10/2025
S2530026            ,A0865     ,PS05848DG54B046B1G01,2,455000,3/10/2025
S2530026            ,A0865     ,PS05848DRF3B023E1G01,1,455000,3/10/2025
S2530026            ,A0865     ,PS053A2DLK9000000E01,1,268181.82,3/10/2025
S2530026            ,A0865     ,PS053A2DR48000000G01,1,268181.82,3/10/2025
S2530026            ,A0865     ,PS053A2DY03000000G01,1,268181.82,3/10/2025
S2530026            ,A0865     ,PS051C8DY03000000001,1,168181.82,3/10/2025
S2530026            ,A0865     ,PS051C8DY62000000001,1,168181.82,3/10/2025
S2530026            ,A0865     ,PS051C8DR12000000001,2,173181.82,3/10/2025
S2530026            ,A0865     ,PS051E4DY04000000001,2,127272.73,3/10/2025
S2530026            ,A0865     ,PS051E4DR18000000001,2,127272.73,3/10/2025
S2530026            ,A0865     ,PS051E4D015000000001,1,127272.73,3/10/2025
S2530026            ,A0865     ,PS051E5DR12000000001,2,141363.64,3/10/2025
S2530026            ,A0865     ,PS051E5DG04000000001,2,136363.64,3/10/2025
S2530026            ,A0865     ,PS051E5DR47000000001,2,136363.64,3/10/2025
S2530026            ,A0865     ,PS051E5DR01000000001,2,136363.64,3/10/2025
S2530026            ,A0865     ,PS051E5DL50000000001,1,136363.64,3/10/2025
S2530026            ,A0865     ,SXV02120SCA001002,14,31818.18,3/10/2025
S2530026            ,A0865     ,SXV02128SCA004001,15,31818.18,3/10/2025
S2530026            ,A0865     ,SXV021CBSCA003001,5,43636.36,3/10/2025
S2530027            ,A0865     ,PS05288DY86000000F01,1,0,3/10/2025
S2530027            ,A0865     ,PS05288D015000000G01,1,0,3/10/2025
S2530022            ,A0548     ,PS05378DB07000000001,39,225909.09,3/8/2025
S2530022            ,A0548     ,PS05378DS51000000001,11,225909.09,3/8/2025
S2530022            ,A0548     ,PS053B2DB07000000F02,5,282272.73,3/8/2025
S2530022            ,A0548     ,PS053B2DH66000000F01,5,277272.73,3/8/2025
S2530022            ,A0548     ,PS053B2DB07000000G02,5,282272.73,3/8/2025
S2530022            ,A0548     ,PS053B2DH66000000G01,5,277272.73,3/8/2025
S2530022            ,A0548     ,SXV021AKSCA003001,30,56363.64,3/8/2025
S2530023            ,A0548     ,PS05378DS51000000001,10,0,3/8/2025
S2530023            ,A0548     ,SXV02342SCA001001,10,0,3/8/2025
S2530023            ,A0548     ,SXV02342SCA003001,10,0,3/8/2025
S2530024            ,A0854     ,PS051H4DB07000000001,3,232272.73,3/8/2025
S2530024            ,A0854     ,PS051H4DH66000000001,3,227272.73,3/8/2025
S2530024            ,A0854     ,PS051H4DH79000000001,3,232272.73,3/8/2025
S2530024            ,A0854     ,PS051H4DLA8000000001,3,232272.73,3/8/2025
S2530024            ,A0854     ,PS051H4DR12000000001,3,232272.73,3/8/2025
S2530024            ,A0854     ,PS051C8DB07000000001,4,185000,3/8/2025
S2530024            ,A0854     ,PS051C8DLA8000000001,4,185000,3/8/2025
S2530024            ,A0854     ,PS051C8DY03000000001,2,180000,3/8/2025
S2530024            ,A0854     ,PS051C8DG04000000001,2,180000,3/8/2025
S2530025            ,A0260     ,PS05848DH48B04519G01,12,477727.27,3/8/2025
S2530025            ,A0260     ,PS05848DH48B0451BG01,12,477727.27,3/8/2025
S2530020            ,A0756     ,PS051H4DB07000000001,14,232272.73,3/7/2025
S2530020            ,A0756     ,PS051H4DLA8000000001,2,232272.73,3/7/2025
S2530020            ,A0756     ,PS051H4DH79000000001,2,232272.73,3/7/2025
S2530020            ,A0756     ,PS051H4DH66000000001,2,227272.73,3/7/2025
S2530021            ,A0768     ,PS051H4DB07000000001,4,232272.73,3/7/2025
S2530021            ,A0768     ,PS051H4DH79000000001,2,232272.73,3/7/2025
S2530021            ,A0768     ,PS051H4DLA8000000001,2,232272.73,3/7/2025
S2530021            ,A0768     ,PS051H4DH66000000001,2,227272.73,3/7/2025
S2530021            ,A0768     ,PS051C8DB07000000001,3,185000,3/7/2025
S2530021            ,A0768     ,PS051C8DLA8000000001,2,185000,3/7/2025
S2530021            ,A0768     ,PS051C8DY03000000001,3,180000,3/7/2025
S2530021            ,A0768     ,PS051C8DL06000000001,2,180000,3/7/2025
S2530021            ,A0768     ,PS051E5DG04000000001,5,143636.36,3/7/2025
S2530021            ,A0768     ,PS051E5DR01000000001,5,143636.36,3/7/2025
S2530019            ,A0668     ,PS051H4DB07000000001,20,232272.73,3/6/2025
S2530019            ,A0668     ,PS051H4DLA8000000001,8,232272.73,3/6/2025
S2530019            ,A0668     ,PS051H4DR12000000001,2,232272.73,3/6/2025
S2530019            ,A0668     ,PS051H4DH79000000001,8,232272.73,3/6/2025
S2530019            ,A0668     ,PS051H4DH66000000001,10,227272.73,3/6/2025
S2530014            ,A0388     ,PS05310DH03000000F01,15,312272.73,3/5/2025
S2530014            ,A0388     ,PS05310DS05000000F01,1,307272.73,3/5/2025
S2530015            ,A0388     ,PS05310DB07000000F01,24,312272.73,3/5/2025
S2530016            ,A0822     ,PS051D4DL50S00213001,36,125454.55,3/5/2025
S2530017            ,A0822     ,PS051H4DB07000000001,10,214090.91,3/5/2025
S2530017            ,A0822     ,PS051H4DH79000000001,5,214090.91,3/5/2025
S2530017            ,A0822     ,PS051H4DLA8000000001,5,214090.91,3/5/2025
S2530017            ,A0822     ,PS051H4DH66000000001,5,209090.91,3/5/2025
S2530017            ,A0822     ,PS05188DB07000000001,20,177727.27,3/5/2025
S2530018            ,A0734     ,PS05310DB07000000F01,8,312272.73,3/5/2025
S2530010            ,A0865     ,PS05848DS05000000G01,9,390000,3/4/2025
S2530010            ,A0865     ,PS05288D015000000G01,10,208181.82,3/4/2025
S2530010            ,A0865     ,PS05295DLA8000000G01,3,246818.18,3/4/2025
S2530010            ,A0865     ,PS05295DS05000000G01,2,241818.18,3/4/2025
S2530010            ,A0865     ,PS05267DB07000000E01,5,314090.91,3/4/2025
S2530010            ,A0865     ,PS05267DH66000000E01,6,309090.91,3/4/2025
S2530010            ,A0865     ,PS05267DS05000000E01,8,309090.91,3/4/2025
S2530010            ,A0865     ,PS05267DS05000000G01,1,309090.91,3/4/2025
S2530010            ,A0865     ,PS05267DH66000000F01,2,309090.91,3/4/2025
S2530010            ,A0865     ,PS05267DR11000000H01,1,309090.91,3/4/2025
S2530010            ,A0865     ,PS05267DB07F06918F01,1,382272.73,3/4/2025
S2530010            ,A0865     ,PS05267DB07F07013F01,1,382272.73,3/4/2025
S2530010            ,A0865     ,PS05849DB07000000F01,1,277727.27,3/4/2025
S2530010            ,A0865     ,PS05849DG63000000H01,1,277727.27,3/4/2025
S2530010            ,A0865     ,PS05645DB07000000E01,2,250454.55,3/4/2025
S2530010            ,A0865     ,PS051E4DR11000000001,15,127272.73,3/4/2025
S2530010            ,A0865     ,PS051C8DL06000000001,9,168181.82,3/4/2025
S2530010            ,A0865     ,PS051C8DR11000000001,9,168181.82,3/4/2025
S2530010            ,A0865     ,PS051C8DLK9000000001,6,168181.82,3/4/2025
S2530010            ,A0865     ,PS051AVDR11000000001,6,163636.36,3/4/2025
S2530010            ,A0865     ,PS051B9DB03000000001,1,149090.91,3/4/2025
S2530010            ,A0865     ,PS05188DB07000000001,1,177727.27,3/4/2025
S2530010            ,A0865     ,PS051D2DB07000000001,9,98636.36,3/4/2025
S2530010            ,A0865     ,PS051D2DH66000000001,4,93636.36,3/4/2025
S2530010            ,A0865     ,PS051D2DR01000000001,2,93636.36,3/4/2025
S2530011            ,A0865     ,PS05288D015000000G01,2,0,3/4/2025
S2530012            ,A0865     ,PS05295DLA8000000G01,1,0,3/4/2025
S2530012            ,A0865     ,PS05267DB07F06918F01,5,0,3/4/2025
S2530013            ,A0849     ,PS051H4DB07000000001,4,232272.73,3/4/2025
S2530013            ,A0849     ,PS051H4DLA8000000001,4,232272.73,3/4/2025
S2530013            ,A0849     ,PS051H4DH79000000001,4,232272.73,3/4/2025
S2530013            ,A0849     ,PS051H4DB03000000001,4,227272.73,3/4/2025
S2530013            ,A0849     ,PS051H4DH66000000001,4,227272.73,3/4/2025
S2530013            ,A0849     ,PS051C8DB07000000001,2,185000,3/4/2025
S2530013            ,A0849     ,PS051C8DL06000000001,2,180000,3/4/2025
S2530013            ,A0849     ,PS051C8DLK9000000001,2,180000,3/4/2025
S2530003            ,A0722     ,PS051H4DB03000000001,1,227272.73,3/3/2025
S2530003            ,A0722     ,PS051H4DB07000000001,7,232272.73,3/3/2025
S2530003            ,A0722     ,PS051H4DH66000000001,3,227272.73,3/3/2025
S2530003            ,A0722     ,PS051H4DH79000000001,2,232272.73,3/3/2025
S2530003            ,A0722     ,PS051H4DLA8000000001,3,232272.73,3/3/2025
S2530003            ,A0722     ,PS051H4DLK9000000001,2,227272.73,3/3/2025
S2530003            ,A0722     ,PS051H4DR12000000001,2,232272.73,3/3/2025
S2530004            ,A0566     ,PS051H4DB07000000001,5,232272.73,3/3/2025
S2530004            ,A0566     ,PS051H4DLA8000000001,5,232272.73,3/3/2025
S2530004            ,A0566     ,PS051H4DH79000000001,3,232272.73,3/3/2025
S2530004            ,A0566     ,PS051H4DLK9000000001,3,227272.73,3/3/2025
S2530004            ,A0566     ,PS051H4DH66000000001,3,227272.73,3/3/2025
S2530004            ,A0566     ,PS051H4DB03000000001,1,227272.73,3/3/2025
S2530005            ,A0666     ,PS051H4DB07000000001,24,214090.91,3/3/2025
S2530005            ,A0666     ,PS051H4DLA8000000001,6,214090.91,3/3/2025
S2530005            ,A0666     ,PS051H4DH79000000001,4,214090.91,3/3/2025
S2530005            ,A0666     ,PS051H4DB03000000001,6,209090.91,3/3/2025
S2530005            ,A0666     ,PS051H4DH66000000001,8,209090.91,3/3/2025
S2530006            ,A0616     ,PS053B2DR47000000E01,1,277272.73,3/3/2025
S2530006            ,A0616     ,PS053B2DY62000000E01,1,277272.73,3/3/2025
S2530006            ,A0616     ,PS053B2DLK9000000F01,1,277272.73,3/3/2025
S2530006            ,A0616     ,PS053B2DW01000000E01,1,277272.73,3/3/2025
S2530006            ,A0616     ,PS053A2DR48000000F01,2,281818.18,3/3/2025
S2530006            ,A0616     ,PS053A2DLK9000000E01,2,281818.18,3/3/2025
S2530006            ,A0616     ,PS053A2DY62000000G01,2,281818.18,3/3/2025
S2530006            ,A0616     ,PS051E5DR01000000001,1,143636.36,3/3/2025
S2530006            ,A0616     ,PS051E5DL50000000001,2,143636.36,3/3/2025
S2530006            ,A0616     ,PS051E5DG04000000001,2,143636.36,3/3/2025
S2530006            ,A0616     ,PS051E5DY86000000001,2,143636.36,3/3/2025
S2530006            ,A0616     ,PS051E5DR12000000001,1,148636.36,3/3/2025
S2530006            ,A0616     ,SXV02848SCA003001,10,39090.91,3/3/2025
S2530007            ,A0616     ,SXV02342SCA001001,2,0,3/3/2025
S2530007            ,A0616     ,SXV02342SCA003001,2,0,3/3/2025
S2530008            ,A0616     ,PS05310DB07000000F01,2,312272.73,3/3/2025
S2530008            ,A0616     ,PS05310DLG6000000F01,1,312272.73,3/3/2025
S2530008            ,A0616     ,PS05310DG14000000F01,1,307272.73,3/3/2025
S2530008            ,A0616     ,PS051C8DB07000000001,2,185000,3/3/2025
S2530008            ,A0616     ,PS051C8DG63000000001,2,185000,3/3/2025
S2530008            ,A0616     ,PS051C8DLK9000000001,2,180000,3/3/2025
S2530008            ,A0616     ,PS051C8DY62000000001,1,180000,3/3/2025
S2530008            ,A0616     ,PS051H4DB03000000001,2,227272.73,3/3/2025
S2530008            ,A0616     ,PS051H4DH66000000001,2,227272.73,3/3/2025
S2530008            ,A0616     ,PS051H4DB07000000001,2,232272.73,3/3/2025
S2530008            ,A0616     ,PS051H4DLA8000000001,2,232272.73,3/3/2025
S2530008            ,A0616     ,PS051H4DH79000000001,2,232272.73,3/3/2025
S2530008            ,A0616     ,PS05848DG54B046B1G01,1,477727.27,3/3/2025
S2530008            ,A0616     ,PS05848DLH4B046B1G01,1,477727.27,3/3/2025
